I,PERCENT,VIDEO,CANONICAL,YOUTUBE,SUBTITLES
1,100,http://www.khanacademy.org/video/basic-addition,http://www.khanacademy.org/math/arithmetic/addition-subtraction/basic_addition/v/basic-addition,https://www.youtube.com/watch?v=AuX7nPBqDts,http://www.amara.org/en/videos/fbpZ98nxEgnj/bg/203215/#revisions
2,100,http://www.khanacademy.org/video/basic-subtraction,http://www.khanacademy.org/math/arithmetic/addition-subtraction/basic_addition/v/basic-subtraction,https://www.youtube.com/watch?v=aNqG4ChKShI,http://www.amara.org/en/videos/msa8cqhVS9uZ/bg/391663/#revisions
3,100,http://www.khanacademy.org/video/addition-2,http://www.khanacademy.org/math/arithmetic/addition-subtraction/two_dig_add_sub/v/addition-2,https://www.youtube.com/watch?v=t2L3JFOqTEk,http://www.amara.org/en/videos/PI9pFp9ATLlg/bg/205751/#revisions
4,100,http://www.khanacademy.org/video/subtraction-2,http://www.khanacademy.org/math/arithmetic/addition-subtraction/two_dig_add_sub/v/subtraction-2,https://www.youtube.com/watch?v=incKJchBCLo,http://www.amara.org/en/videos/gzgJuNWM4X4y/bg/149212/#revisions
5,100,http://www.khanacademy.org/video/addition-3,http://www.khanacademy.org/math/arithmetic/addition-subtraction/addition_carrying/v/addition-3,https://www.youtube.com/watch?v=e_SpXIw_Qts,http://www.amara.org/en/videos/bEEp3SqQ9yNI/bg/406938/#revisions
6,49,http://www.khanacademy.org/video/subtraction-3---introduction-to-borrowing-or-regrouping,http://www.khanacademy.org/math/arithmetic/addition-subtraction/sub_borrowing/v/subtraction-3---introduction-to-borrowing-or-regrouping,https://www.youtube.com/watch?v=ZaqOUE3H1mE,http://www.amara.org/en/videos/EB5OLo1BS0t0
7,100,http://www.khanacademy.org/video/addition-4,http://www.khanacademy.org/math/arithmetic/addition-subtraction/addition_carrying/v/addition-4,https://www.youtube.com/watch?v=fOXo4p4WDKM,http://www.amara.org/en/videos/WUwPF64tvJgg/bg/486541/#revisions
8,100,http://www.khanacademy.org/video/level-4-subtraction,http://www.khanacademy.org/math/arithmetic/addition-subtraction/sub_borrowing/v/level-4-subtraction,https://www.youtube.com/watch?v=omUfrXtHtN0,http://www.amara.org/en/videos/rJgSaCBtUcS6/bg/211316/#revisions
9,100,http://www.khanacademy.org/video/subtraction-word-problem,http://www.khanacademy.org/math/arithmetic/addition-subtraction/add_sub_word_problems/v/subtraction-word-problem,https://www.youtube.com/watch?v=QY8vv7eVVJE,http://www.amara.org/en/videos/0kMzeUepq05T/bg/499535/#revisions
10,58,http://www.khanacademy.org/video/negative-numbers-introduction,http://www.khanacademy.org/math/arithmetic/absolute-value/adding_subtracting_negatives/v/negative-numbers-introduction,https://www.youtube.com/watch?v=Hlal9ME2Aig,http://www.amara.org/en/videos/NcEHxEaB3o7c
11,100,http://www.khanacademy.org/video/adding-negative-numbers,http://www.khanacademy.org/math/arithmetic/absolute-value/adding_subtracting_negatives/v/adding-negative-numbers,https://www.youtube.com/watch?v=AcpIO62x2oo,http://www.amara.org/en/videos/wu5awcWq5IsS/bg/425616/#revisions
12,100,http://www.khanacademy.org/video/adding-subtracting-negative-numbers,http://www.khanacademy.org/math/arithmetic/absolute-value/adding_subtracting_negatives/v/adding-subtracting-negative-numbers,https://www.youtube.com/watch?v=C38B33ZywWs,http://www.amara.org/en/videos/AJmS0x8f4fz2/bg/449713/#revisions
13,100,http://www.khanacademy.org/video/adding-integers-with-different-signs,http://www.khanacademy.org/math/arithmetic/absolute-value/adding_subtracting_negatives/v/adding-integers-with-different-signs,https://www.youtube.com/watch?v=NrVvu7cM8_o,http://www.amara.org/en/videos/SFFR5jvxTZHl/bg/548858/#revisions
14,100,http://www.khanacademy.org/video/subtracting-whole-numbers,http://www.khanacademy.org/math/arithmetic/addition-subtraction/two_dig_add_sub/v/subtracting-whole-numbers,https://www.youtube.com/watch?v=sAw71J2kYJE,http://www.amara.org/en/videos/eCUU4BUX1n2k/bg/495763/#revisions
16,31,http://www.khanacademy.org/video/why-borrowing-works,http://www.khanacademy.org/math/arithmetic/addition-subtraction/sub_borrowing/v/why-borrowing-works,https://www.youtube.com/watch?v=fWan_T0enj4,http://www.amara.org/en/videos/xyk0hIszuIWY
18,100,http://www.khanacademy.org/video/adding-whole-numbers-and-applications-1,http://www.khanacademy.org/math/arithmetic/addition-subtraction/two_dig_add_sub/v/adding-whole-numbers-and-applications-1,https://www.youtube.com/watch?v=b22tMEc6Kko,http://www.amara.org/en/videos/wNf8LmV0w9M4/bg/257439/#revisions
19,100,http://www.khanacademy.org/video/u09-l1-t2-we4-adding-real-numbers-application,http://www.khanacademy.org/math/arithmetic/absolute-value/adding_subtracting_negatives/v/u09-l1-t2-we4-adding-real-numbers-application,https://www.youtube.com/watch?v=fFdOr8U4mnI,http://www.amara.org/en/videos/QMQ9aRqoNH4s/bg/543253/#revisions
